city,avg_yearly_high,avg_yearly_low,highest_record,lowest_record,temperature_range,comparison_type
phoenix_az,25.4,8.8,45.0,-11.7,16.7,temperature
los_angeles_ca,25.0,6.8,43.6,-14.8,18.2,temperature
san_diego_ca,24.3,9.9,43.2,-14.4,14.4,temperature
philadelphia_pa,24.0,6.6,43.7,-14.7,17.4,temperature
new_york_ny,23.3,6.3,44.4,-11.7,17.0,temperature
houston_tx,22.4,8.8,42.9,-13.7,13.5,temperature
chicago_il,22.2,9.1,44.8,-14.1,13.1,temperature
san_jose_ca,22.1,5.6,43.0,-14.1,16.5,temperature
san_antonio_tx,22.0,7.4,44.4,-15.0,14.6,temperature
dallas_tx,21.4,5.9,42.0,-13.0,15.5,temperature
dallas_tx,,,,,,precipitation
san_jose_ca,,,,,,precipitation
houston_tx,,,,,,precipitation
philadelphia_pa,,,,,,precipitation
new_york_ny,,,,,,precipitation
los_angeles_ca,,,,,,precipitation
chicago_il,,,,,,precipitation
san_diego_ca,,,,,,precipitation
phoenix_az,,,,,,precipitation
san_antonio_tx,,,,,,precipitation
san_diego_ca,,,,,,humidity
houston_tx,,,,,,humidity
dallas_tx,,,,,,humidity
phoenix_az,,,,,,humidity
chicago_il,,,,,,humidity
san_jose_ca,,,,,,humidity
new_york_ny,,,,,,humidity
los_angeles_ca,,,,,,humidity
san_antonio_tx,,,,,,humidity
philadelphia_pa,,,,,,humidity
san_antonio_tx,,,,,,seasonal
houston_tx,,,,,,seasonal
san_jose_ca,,,,,,seasonal
los_angeles_ca,,,,,,seasonal
phoenix_az,,,,,,seasonal
dallas_tx,,,,,,seasonal
philadelphia_pa,,,,,,seasonal
san_diego_ca,,,,,,seasonal
chicago_il,,,,,,seasonal
new_york_ny,,,,,,seasonal
