city,month,avg_high_temp,avg_low_temp,record_high_temp,record_low_temp,avg_humidity,morning_humidity,afternoon_humidity,total_precipitation,rainy_days,snow_days
"Chicago, IL",1,28.5,11.6,38.3,-13.7,85.1,43.7,73.5,16.3,9,9
"Chicago, IL",2,10.8,3.5,34.8,-7.8,53.4,77.9,83.5,11.7,8,4
"Chicago, IL",3,28.1,-4.8,40.2,-14.1,50.3,85.9,29.2,98.2,14,4
"Chicago, IL",4,14.6,15.0,34.2,-9.3,37.2,62.6,52.4,133.3,9,0
"Chicago, IL",5,21.4,5.5,30.2,-11.0,41.1,75.8,36.2,132.7,2,0
"Chicago, IL",6,27.9,3.7,33.5,-12.4,82.8,40.0,52.3,175.1,6,0
"Chicago, IL",7,11.3,18.8,28.5,-9.5,55.2,40.6,35.9,52.8,1,0
"Chicago, IL",8,26.6,20.0,40.4,-6.6,73.9,80.2,79.2,190.9,4,0
"Chicago, IL",9,28.0,11.1,43.6,-4.4,58.2,63.2,78.0,25.6,18,0
"Chicago, IL",10,30.2,11.3,44.8,0.5,46.2,55.0,52.9,16.1,12,0
"Chicago, IL",11,19.2,0.9,28.0,-0.3,45.4,74.3,51.1,168.8,8,0
"Chicago, IL",12,20.2,12.8,42.1,-7.8,80.6,61.0,65.9,134.1,19,5
