city,month,avg_high_temp,avg_low_temp,record_high_temp,record_low_temp,avg_humidity,morning_humidity,afternoon_humidity,total_precipitation,rainy_days,snow_days
"Dallas, TX",1,27.0,6.5,25.9,-0.1,39.5,71.1,82.2,191.6,3,2
"Dallas, TX",2,13.5,16.8,26.1,-13.0,47.5,64.3,60.8,174.6,2,2
"Dallas, TX",3,13.0,-2.5,35.4,-0.9,69.4,45.2,78.3,199.3,5,5
"Dallas, TX",4,16.2,3.6,25.5,-8.8,88.0,63.3,31.3,175.5,19,0
"Dallas, TX",5,28.4,9.3,35.5,-0.4,44.1,40.5,50.4,180.3,10,0
"Dallas, TX",6,26.8,3.0,38.3,-8.9,84.2,47.4,80.3,176.5,12,0
"Dallas, TX",7,14.8,17.4,40.8,-5.9,69.3,88.4,46.8,166.7,13,0
"Dallas, TX",8,22.0,2.7,40.3,-1.5,77.0,79.5,80.9,110.5,5,0
"Dallas, TX",9,27.5,7.4,29.9,-12.5,63.6,52.7,75.4,60.4,18,0
"Dallas, TX",10,31.5,4.4,42.0,-8.2,46.1,73.0,32.8,116.9,18,0
"Dallas, TX",11,22.1,3.8,41.7,0.9,59.0,82.7,68.6,81.7,17,0
"Dallas, TX",12,14.4,-1.1,30.2,-2.1,72.0,81.3,77.1,91.6,15,3
