city,month,avg_high_temp,avg_low_temp,record_high_temp,record_low_temp,avg_humidity,morning_humidity,afternoon_humidity,total_precipitation,rainy_days,snow_days
"Houston, TX",1,17.3,6.1,38.6,1.7,82.0,72.6,27.7,36.7,6,1
"Houston, TX",2,16.6,8.2,36.2,-13.7,75.4,67.4,39.2,66.2,6,8
"Houston, TX",3,30.9,3.6,27.1,0.2,84.2,59.0,56.6,159.2,10,9
"Houston, TX",4,13.7,18.7,34.8,3.0,45.0,89.5,26.7,104.1,2,0
"Houston, TX",5,18.8,4.8,36.2,-10.8,83.7,67.3,62.6,19.9,8,0
"Houston, TX",6,32.4,18.3,41.4,-6.1,58.2,46.1,50.0,125.2,5,0
"Houston, TX",7,20.0,6.4,42.9,-1.1,57.7,92.5,30.4,172.8,13,0
"Houston, TX",8,16.4,-0.2,26.6,0.7,82.8,40.4,34.0,59.9,10,0
"Houston, TX",9,19.1,12.4,35.4,-3.1,55.4,68.2,68.6,167.1,15,0
"Houston, TX",10,30.0,15.0,40.1,-0.6,74.7,49.6,60.9,124.1,20,0
"Houston, TX",11,34.2,7.7,31.8,-6.7,32.4,84.1,27.4,151.8,10,0
"Houston, TX",12,19.2,5.1,42.7,-6.8,33.9,57.8,66.2,95.1,13,3
