city,month,avg_high_temp,avg_low_temp,record_high_temp,record_low_temp,avg_humidity,morning_humidity,afternoon_humidity,total_precipitation,rainy_days,snow_days
"New York, NY",1,22.5,2.4,30.5,-7.8,31.4,61.1,62.1,90.2,20,9
"New York, NY",2,21.7,11.4,33.8,1.5,45.3,48.5,65.2,145.2,16,8
"New York, NY",3,23.9,8.8,35.1,-7.6,74.0,75.9,28.4,55.4,15,3
"New York, NY",4,13.4,-1.1,44.4,-3.5,41.6,77.5,84.2,71.9,3,0
"New York, NY",5,33.0,3.9,31.1,0.5,44.6,51.5,61.5,154.2,1,0
"New York, NY",6,32.7,19.6,29.4,4.0,65.0,71.8,29.4,75.1,7,0
"New York, NY",7,21.8,-0.4,28.1,-6.5,63.6,58.2,55.5,145.5,12,0
"New York, NY",8,15.3,7.6,41.4,3.0,82.8,88.4,39.8,182.1,17,0
"New York, NY",9,13.0,5.8,26.5,-11.7,50.8,84.3,83.5,37.5,2,0
"New York, NY",10,20.5,14.9,28.9,-10.2,74.3,57.5,49.0,92.4,6,0
"New York, NY",11,30.5,2.9,26.1,-1.3,72.8,61.6,82.8,84.7,13,0
"New York, NY",12,31.5,0.2,33.6,-3.6,53.4,51.0,52.9,37.4,17,4
