city,month,avg_high_temp,avg_low_temp,record_high_temp,record_low_temp,avg_humidity,morning_humidity,afternoon_humidity,total_precipitation,rainy_days,snow_days
"Philadelphia, PA",1,19.4,-4.3,36.8,0.7,58.3,40.8,68.4,141.5,19,3
"Philadelphia, PA",2,15.2,15.1,43.7,0.1,37.3,90.0,75.1,64.8,1,10
"Philadelphia, PA",3,11.4,8.1,25.3,-2.9,77.8,60.3,27.8,69.2,17,1
"Philadelphia, PA",4,24.1,-3.9,30.2,-6.0,39.6,89.0,79.9,191.0,18,0
"Philadelphia, PA",5,32.7,17.2,29.1,-14.4,73.1,74.1,65.8,171.5,18,0
"Philadelphia, PA",6,13.1,6.9,42.7,1.4,34.9,76.6,36.9,54.6,1,0
"Philadelphia, PA",7,21.3,2.5,37.4,-8.0,64.1,69.7,47.2,13.9,7,0
"Philadelphia, PA",8,29.8,4.8,39.3,-14.7,72.1,77.6,25.7,92.8,14,0
"Philadelphia, PA",9,30.9,5.7,34.4,-13.8,58.3,83.1,33.7,199.3,5,0
"Philadelphia, PA",10,28.6,18.1,36.5,-14.1,48.2,75.5,32.7,78.6,9,0
"Philadelphia, PA",11,26.4,-3.4,30.2,-3.2,34.3,41.6,41.1,61.3,18,0
"Philadelphia, PA",12,34.9,11.8,27.2,-7.1,58.9,94.1,79.5,108.6,20,5
