city,month,avg_high_temp,avg_low_temp,record_high_temp,record_low_temp,avg_humidity,morning_humidity,afternoon_humidity,total_precipitation,rainy_days,snow_days
"Phoenix, AZ",1,25.6,-0.7,45.0,-1.7,81.6,42.4,32.3,66.8,2,8
"Phoenix, AZ",2,28.1,9.6,43.9,-3.8,74.0,80.1,52.9,14.4,5,4
"Phoenix, AZ",3,25.6,13.2,34.0,-7.5,76.0,81.8,30.0,140.6,7,9
"Phoenix, AZ",4,27.8,8.7,32.7,1.2,69.5,60.1,54.2,196.0,10,0
"Phoenix, AZ",5,34.0,10.1,38.1,-2.0,31.8,42.7,78.0,108.0,18,0
"Phoenix, AZ",6,35.0,0.8,44.6,-8.8,37.4,91.6,77.2,189.9,5,0
"Phoenix, AZ",7,22.7,15.2,37.1,0.1,74.9,48.8,38.6,28.9,16,0
"Phoenix, AZ",8,11.8,13.1,32.8,-11.7,33.3,85.2,78.7,15.8,10,0
"Phoenix, AZ",9,27.1,4.4,42.3,-7.7,37.4,71.2,83.0,27.3,15,0
"Phoenix, AZ",10,27.6,4.9,36.3,4.9,86.0,92.6,57.8,121.8,17,0
"Phoenix, AZ",11,28.6,6.8,43.2,4.6,67.4,92.7,52.1,56.3,5,0
"Phoenix, AZ",12,11.3,19.1,34.5,-7.2,56.1,51.5,73.9,61.2,20,6
