city,month,avg_high_temp,avg_low_temp,record_high_temp,record_low_temp,avg_humidity,morning_humidity,afternoon_humidity,total_precipitation,rainy_days,snow_days
"San Antonio, TX",1,20.3,10.7,37.4,3.9,50.9,48.2,81.7,35.9,19,0
"San Antonio, TX",2,20.5,10.1,43.1,-3.9,47.4,55.5,45.8,168.2,16,9
"San Antonio, TX",3,22.4,18.9,36.2,2.8,79.5,70.0,52.6,116.2,18,2
"San Antonio, TX",4,14.9,13.7,39.3,-6.5,38.7,46.9,68.6,44.2,12,0
"San Antonio, TX",5,11.4,0.6,31.0,-13.4,50.1,49.4,79.0,62.8,18,0
"San Antonio, TX",6,24.3,12.7,44.4,-15.0,81.8,82.6,72.6,151.8,6,0
"San Antonio, TX",7,34.4,8.8,37.9,-7.7,54.0,80.0,73.4,0.3,11,0
"San Antonio, TX",8,25.3,-3.4,43.6,-1.5,40.3,45.8,64.1,34.9,16,0
"San Antonio, TX",9,11.2,5.5,31.9,-14.9,55.0,41.9,54.0,43.7,15,0
"San Antonio, TX",10,33.5,-2.6,30.5,-14.5,51.9,64.8,61.9,24.3,0,0
"San Antonio, TX",11,14.2,2.0,42.1,2.6,87.6,52.4,77.7,188.1,0,0
"San Antonio, TX",12,31.2,11.2,33.0,-13.7,46.2,66.0,49.4,126.6,0,0
