city,month,avg_high_temp,avg_low_temp,record_high_temp,record_low_temp,avg_humidity,morning_humidity,afternoon_humidity,total_precipitation,rainy_days,snow_days
"San Diego, CA",1,25.5,19.2,37.7,-6.3,70.0,44.6,54.4,195.7,17,7
"San Diego, CA",2,11.8,0.1,39.1,-9.6,47.4,86.7,62.5,160.2,11,8
"San Diego, CA",3,28.2,16.7,39.9,-10.6,65.9,71.9,71.2,165.4,20,7
"San Diego, CA",4,23.2,12.5,38.4,-3.8,73.7,80.0,82.0,45.1,16,0
"San Diego, CA",5,30.0,1.9,30.3,4.9,40.2,74.7,62.5,54.8,6,0
"San Diego, CA",6,32.6,4.2,43.2,1.6,46.3,43.9,35.2,94.3,6,0
"San Diego, CA",7,21.2,6.2,32.5,-11.2,80.9,54.7,72.5,103.3,7,0
"San Diego, CA",8,11.0,7.1,34.9,-14.4,68.9,47.5,62.3,37.5,13,0
"San Diego, CA",9,33.0,12.8,30.9,-10.7,53.4,44.7,47.3,40.8,9,0
"San Diego, CA",10,33.9,13.9,32.3,-5.7,66.9,58.9,84.7,24.8,2,0
"San Diego, CA",11,29.9,17.3,35.8,-7.5,87.2,86.9,80.7,60.7,4,0
"San Diego, CA",12,11.8,7.1,38.7,1.2,77.0,59.2,72.3,86.6,9,6
