city,month,avg_high_temp,avg_low_temp,record_high_temp,record_low_temp,avg_humidity,morning_humidity,afternoon_humidity,total_precipitation,rainy_days,snow_days
"San Jose, CA",1,28.7,1.5,28.0,1.1,42.0,85.9,81.7,191.5,0,4
"San Jose, CA",2,27.4,1.6,31.2,-14.1,45.0,65.9,83.2,109.8,11,6
"San Jose, CA",3,28.1,3.1,29.7,-6.9,49.2,82.9,75.3,182.0,2,0
"San Jose, CA",4,25.2,18.4,33.4,-12.9,89.6,94.0,56.6,117.3,16,0
"San Jose, CA",5,13.6,8.3,30.9,-5.2,46.4,94.5,29.8,11.4,6,0
"San Jose, CA",6,21.1,-4.9,25.5,-5.5,78.6,55.2,58.6,94.1,3,0
"San Jose, CA",7,33.9,4.5,43.0,-0.1,67.4,55.9,65.1,61.3,20,0
"San Jose, CA",8,17.7,-3.6,38.6,4.4,66.0,89.9,46.3,137.0,7,0
"San Jose, CA",9,12.9,2.5,37.7,-11.8,35.4,50.6,31.0,117.6,13,0
"San Jose, CA",10,16.1,9.1,38.9,-0.3,69.9,71.8,41.4,65.0,5,0
"San Jose, CA",11,11.1,12.9,28.0,0.3,82.1,68.1,83.3,187.1,16,0
"San Jose, CA",12,29.9,14.3,40.0,-7.6,30.0,54.0,80.2,124.8,13,10
